城市名称,年份,unemploymentRate
city1,2001,3.0
city1,2002,4.0
city1,2003,4.0
city1,2005,4.0
city1,2006,4.0
city1,2007,4.0
city1,2008,3.0
city1,2009,3.0
city1,2010,3.0
city1,2011,3.0
city1,2012,3.0
city1,2013,3.0
city1,2014,3.0
city1,2015,3.0
city1,2016,3.0
city1,2017,2.0
city1,2018,2.0
city1,2019,2.0
city1,2020,2.0
city1,2021,2.0
city2,2000,3.0
city2,2001,4.0
city2,2002,4.0
city2,2003,4.0
city2,2004,3.0
city2,2005,3.0
city2,2006,3.0
city2,2007,3.0
city2,2008,3.0
city2,2009,3.0
city2,2010,3.0
city2,2011,3.0
city2,2012,2.0
city2,2013,2.0
city2,2014,2.0
city2,2015,2.0
city2,2016,2.0
city2,2017,2.0
city2,2018,2.0
city2,2019,2.0
city2,2020,2.0
city2,2021,3.0
city2,2022,3.0
city3,2000,3.0
city3,2001,2.0
city3,2002,2.0
city3,2003,3.0
city3,2004,3.0
city3,2005,2.0
city3,2006,2.0
city3,2007,2.0
city3,2008,2.0
city3,2009,3.0
city3,2010,3.0
city3,2011,2.0
city3,2012,2.0
city3,2013,2.0
city3,2014,2.0
city3,2015,2.0
city3,2016,2.0
city3,2017,2.0
city3,2018,2.0
city3,2019,2.0
city3,2020,2.0
city3,2021,2.0
city4,2001,4.0
city4,2002,4.0
city4,2003,4.0
city4,2004,4.0
city4,2005,4.0
city4,2006,4.0
city4,2007,4.0
city4,2008,4.0
city4,2009,4.0
city4,2010,3.0
city4,2011,3.0
city4,2012,3.0
city4,2013,3.0
city4,2014,3.0
city4,2015,3.0
city4,2016,3.0
city4,2017,3.0
city4,2018,2.0
city4,2019,2.0
city4,2020,2.0
city4,2021,2.0
city4,2022,1.0
city5,2000,3.0
city5,2001,4.0
city5,2002,4.0
city5,2003,4.0
city5,2004,4.0
city5,2005,3.0
city5,2006,3.0
city5,2007,3.0
city5,2009,3.0
city5,2010,3.0
city5,2011,3.0
city5,2012,3.0
city5,2013,2.0
city5,2014,2.0
city5,2016,2.0
city5,2017,2.0
city5,2018,2.0
city5,2020,2.0
city5,2021,2.0
city6,2000,3.0
city6,2001,4.0
city6,2002,3.0
city6,2003,2.0
city6,2004,2.0
city6,2005,2.0
city6,2006,2.0
city6,2007,2.0
city6,2008,2.0
city6,2009,2.0
city6,2010,2.0
city6,2011,2.0
city6,2012,2.0
city6,2013,2.0
city6,2014,2.0
city6,2015,2.0
city6,2016,2.0
city6,2017,2.0
city6,2018,2.0
city6,2019,2.0
city6,2020,2.0
city6,2021,2.0
city7,2001,4.0
city7,2002,4.0
city7,2003,4.0
city7,2004,4.0
city7,2005,4.0
city7,2006,3.0
city7,2007,3.0
city7,2008,3.0
city7,2009,4.0
city7,2010,3.0
city7,2012,3.0
city7,2013,3.0
city7,2014,3.0
city7,2015,3.0
city7,2016,2.0
city7,2017,2.0
city7,2018,2.0
city7,2019,2.0
city7,2020,2.0
city7,2021,2.0
city8,2000,3.0
city8,2001,3.0
city8,2002,4.0
city8,2003,4.0
city8,2006,4.0
city8,2007,3.0
city8,2008,3.0
city8,2009,3.0
city8,2010,3.0
city8,2011,3.0
city8,2012,2.0
city8,2013,2.0
city8,2014,2.0
city8,2015,2.0
city8,2016,2.0
city8,2017,2.0
city8,2018,2.0
city8,2019,2.0
city8,2020,2.0
city8,2021,4.0
city9,2000,3.0
city9,2001,3.0
city9,2002,4.0
city9,2003,3.0
city9,2004,3.0
city9,2005,3.0
city9,2006,3.0
city9,2007,3.0
city9,2008,3.0
city9,2009,3.0
city9,2010,3.0
city9,2011,3.0
city9,2012,3.0
city9,2013,2.0
city9,2014,2.0
city9,2015,2.0
city9,2016,2.0
city9,2017,2.0
city9,2018,2.0
city9,2019,2.0
city9,2020,2.0
city9,2021,2.0
city10,2001,4.0
city10,2002,4.0
city10,2003,4.0
city10,2004,4.0
city10,2005,4.0
city10,2006,4.0
city10,2007,4.0
city10,2008,4.0
city10,2009,4.0
city10,2010,4.0
city10,2011,4.0
city10,2012,3.0
city10,2013,3.0
city10,2014,3.0
city10,2015,3.0
city10,2016,3.0
city10,2017,3.0
city10,2018,2.0
city10,2019,2.0
city10,2020,2.0
city10,2021,2.0
city11,2000,3.0
city11,2001,3.0
city11,2002,4.0
city11,2003,4.0
city11,2004,4.0
city11,2005,4.0
city11,2006,4.0
city11,2007,4.0
city11,2008,4.0
city11,2009,4.0
city11,2010,4.0
city11,2011,3.0
city11,2012,3.0
city11,2013,3.0
city11,2014,3.0
city11,2015,3.0
city11,2016,3.0
city11,2017,3.0
city11,2018,3.0
city11,2019,2.0
city11,2020,2.0
city11,2021,2.0
city12,2002,4.0
city12,2003,4.0
city12,2004,4.0
city12,2005,2.0
city12,2006,3.0
city12,2007,3.0
city12,2008,3.0
city12,2009,3.0
city12,2010,3.0
city12,2011,3.0
city12,2012,2.0
city12,2013,2.0
city12,2014,2.0
city12,2015,2.0
city12,2016,2.0
city12,2017,2.0
city12,2018,2.0
city12,2019,2.0
city12,2020,2.0
city14,2000,3.0
city14,2001,3.0
city14,2002,3.0
city14,2003,3.0
city14,2004,3.0
city14,2005,3.0
city14,2006,3.0
city14,2007,3.0
city14,2008,3.0
city14,2009,3.0
city14,2010,3.0
city14,2011,3.0
city14,2012,3.0
city14,2013,3.0
city14,2014,2.0
city14,2015,2.0
city14,2016,2.0
city14,2017,2.0
city14,2018,2.0
city14,2019,2.0
city14,2020,3.0
city14,2021,3.0
city15,2014,2.1
city15,2015,1.9
city15,2016,1.9
city15,2017,1.9
city15,2018,1.8
city15,2019,1.8
city15,2020,1.8
city15,2021,1.8
city15,2022,2.1
city16,2001,2.9
city16,2002,2.9
city16,2003,3.4
city16,2004,3.4
city16,2005,3.3
city16,2006,3.3
city16,2007,3.4
city16,2008,3.2
city16,2009,3.2
city16,2010,3.2
city16,2011,3.0
city16,2012,2.9
city16,2013,2.8
city16,2014,2.4
city16,2015,2.4
city16,2016,2.5
city16,2017,2.5
city16,2018,2.4
city16,2019,2.3
city16,2020,2.1
city16,2021,2.5
city16,2022,2.5
city17,2001,3.2
city17,2002,3.8
city17,2003,3.6
city17,2004,2.7
city17,2005,2.4
city17,2006,2.1
city17,2007,2.1
city17,2008,2.2
city17,2009,2.3
city17,2010,2.3
city17,2011,2.3
city17,2012,2.4
city17,2013,2.4
city17,2014,2.2
city17,2015,2.3
city17,2016,2.2
city17,2017,2.4
city17,2018,2.4
city17,2019,1.9
city17,2020,2.2
city17,2021,2.5
city17,2022,2.2
city18,2001,3.0
city18,2002,3.2
city18,2003,3.4
city18,2004,3.5
city18,2005,3.6
city18,2006,3.6
city18,2007,3.4
city18,2008,3.2
city18,2009,3.2
city18,2012,2.6
city18,2013,2.4
city18,2015,1.9
city18,2017,1.9
city18,2018,1.8
city18,2019,1.8
city18,2020,1.8
city18,2021,1.8
city18,2022,1.6
city19,2001,3.4
city19,2002,3.3
city19,2003,3.0
city19,2004,3.2
city19,2005,3.2
city19,2006,3.2
city19,2007,3.0
city19,2008,2.9
city19,2009,3.0
city19,2010,3.0
city19,2011,3.0
city19,2012,2.8
city19,2013,2.8
city19,2014,2.7
city19,2015,2.8
city19,2016,2.8
city19,2017,2.8
city19,2018,2.5
city19,2019,2.1
city19,2020,1.8
city19,2021,1.6
city19,2022,1.6
city20,2004,4.2
city20,2005,4.2
city20,2006,4.1
city20,2007,4.0
city20,2008,3.8
city20,2009,3.9
city20,2010,3.7
city20,2011,3.7
city20,2012,3.5
city20,2013,3.4
city20,2014,3.1
city20,2015,3.1
city20,2016,2.9
city20,2017,2.8
city20,2018,2.7
city20,2019,2.2
city20,2020,2.0
city20,2021,1.8
city20,2022,1.6
city21,2001,3.0
city21,2002,4.0
city21,2003,4.0
city21,2004,4.0
city21,2005,4.0
city21,2006,4.0
city21,2007,3.0
city21,2008,3.0
city21,2009,3.0
city21,2010,3.0
city21,2011,0.0
city21,2012,2.0
city21,2013,2.0
city21,2014,2.0
city21,2015,2.0
city21,2016,2.0
city21,2017,2.0
city21,2018,2.0
city21,2019,2.0
city21,2020,2.0
city21,2021,2.0
city21,2022,2.0
city22,2002,4.0
city22,2003,4.0
city22,2004,4.0
city22,2005,4.0
city22,2006,3.0
city22,2007,3.0
city22,2008,3.0
city22,2009,3.0
city22,2010,3.0
city22,2011,3.0
city22,2012,3.0
city22,2013,3.0
city22,2014,3.0
city22,2015,3.0
city22,2016,2.0
city22,2017,2.0
city22,2018,2.0
city22,2019,2.0
city22,2020,2.0
city22,2021,2.0
city23,2001,3.0
city23,2002,3.0
city23,2003,3.0
city23,2004,3.0
city23,2005,3.0
city23,2006,3.0
city23,2007,3.0
city23,2008,3.0
city23,2009,3.0
city23,2010,3.0
city23,2011,3.0
city23,2012,2.0
city23,2013,2.0
city23,2014,2.0
city23,2015,2.0
city23,2016,2.0
city23,2017,2.0
city23,2018,2.0
city23,2019,2.0
city23,2020,2.0
city23,2021,2.0
city23,2022,2.0
city24,2001,4.0
city24,2002,4.0
city24,2003,4.0
city24,2004,4.0
city24,2005,4.0
city24,2006,4.0
city24,2007,4.0
city24,2008,4.0
city24,2009,3.0
city24,2010,4.0
city24,2011,4.0
city24,2012,4.0
city24,2013,3.0
city24,2014,2.0
city24,2015,2.0
city24,2016,2.0
city24,2017,2.0
city24,2018,2.0
city24,2019,2.0
city24,2020,2.0
city24,2021,2.0
city25,2001,3.0
city25,2002,4.0
city25,2003,4.0
city25,2004,4.0
city25,2005,4.0
city25,2006,4.0
city25,2007,3.0
city25,2008,3.0
city25,2009,3.0
city25,2010,3.0
city25,2011,3.0
city25,2012,3.0
city25,2013,3.0
city25,2014,2.0
city25,2015,2.0
city25,2016,2.0
city25,2017,2.0
city25,2018,2.0
city25,2019,2.0
city25,2020,2.0
city25,2021,2.0
city25,2022,2.0
city26,2020,2.0
city26,2021,2.0
city26,2022,2.0
city27,2001,1.0
city27,2002,2.0
city27,2003,3.0
city27,2004,3.0
city27,2005,3.0
city27,2006,3.0
city27,2007,3.0
city27,2008,3.0
city27,2009,3.0
city27,2010,3.0
city27,2011,3.0
city27,2012,2.0
city27,2013,2.0
city27,2014,2.0
city27,2015,2.0
city27,2016,3.0
city27,2017,2.0
city27,2018,2.0
city27,2019,2.0
city27,2020,2.0
city27,2021,3.0
city27,2022,2.0
city28,2001,3.0
city28,2002,4.0
city28,2003,4.0
city28,2004,4.0
city28,2005,3.0
city28,2006,3.0
city28,2007,3.0
city28,2008,3.0
city28,2009,3.0
city28,2010,3.0
city28,2011,3.0
city28,2012,3.0
city28,2013,3.0
city28,2014,3.0
city28,2015,3.0
city28,2016,3.0
city28,2017,3.0
city28,2018,3.0
city28,2019,3.0
city28,2020,3.0
city28,2021,3.0
city28,2022,3.0
city29,2001,3.0
city29,2002,3.0
city29,2003,4.0
city29,2004,4.0
city29,2005,4.0
city29,2006,4.0
city29,2007,4.0
city29,2008,4.0
city29,2009,4.0
city29,2010,4.0
city29,2011,4.0
city29,2012,3.0
city29,2013,3.0
city29,2014,3.0
city29,2015,2.0
city29,2016,2.0
city29,2017,2.0
city29,2018,2.0
city29,2019,2.0
city29,2020,2.0
city29,2021,1.0
city29,2022,1.0
city30,2003,4.0
city30,2004,4.0
city30,2005,4.0
city30,2006,4.0
city30,2007,4.0
city30,2008,3.0
city30,2009,3.0
city30,2013,2.0
city30,2014,2.0
city30,2015,2.0
city30,2016,2.0
city30,2017,2.0
city30,2018,2.0
city30,2019,2.0
city30,2021,2.0
city31,2001,2.0
city31,2002,3.0
city31,2003,3.0
city31,2004,3.0
city31,2005,3.0
city31,2006,3.0
city31,2007,3.0
city31,2008,3.0
city31,2009,3.0
city31,2010,2.0
city31,2011,2.0
city31,2012,2.0
city31,2013,2.0
city31,2014,2.0
city31,2015,2.0
city31,2016,2.0
city31,2017,2.0
city31,2018,2.0
city31,2019,2.0
city31,2020,2.0
city31,2021,2.0
city31,2022,2.0
city32,2001,3.0
city32,2002,3.0
city32,2003,4.0
city32,2004,4.0
city32,2005,3.0
city32,2006,3.0
city32,2007,3.0
city32,2008,3.0
city32,2009,3.0
city32,2010,3.0
city32,2011,3.0
city32,2012,3.0
city32,2013,3.0
city32,2014,3.0
city32,2015,3.0
city32,2016,3.0
city32,2017,3.0
city32,2018,3.0
city32,2019,2.0
city32,2020,2.0
city32,2021,2.0
city32,2022,3.0
city33,2002,1.0
city33,2003,4.0
city33,2004,3.0
city33,2005,3.0
city33,2006,2.0
city33,2007,3.0
city33,2008,2.0
city33,2009,3.0
city33,2010,2.0
city33,2011,2.0
city33,2012,2.0
city33,2013,2.0
city33,2014,2.0
city33,2015,2.0
city33,2016,2.0
city33,2017,2.0
city33,2018,2.0
city33,2019,2.0
city33,2020,2.0
city33,2021,2.0
city33,2022,2.0
city35,2001,3.0
city35,2002,3.0
city35,2003,3.0
city35,2004,3.0
city35,2005,3.0
city35,2006,3.0
city35,2007,3.0
city35,2008,3.0
city35,2009,3.0
city35,2010,3.0
city35,2011,3.0
city35,2012,3.0
city35,2013,3.0
city35,2014,2.0
city35,2015,2.0
city35,2016,2.0
city35,2017,2.0
city35,2018,2.0
city35,2019,2.0
city35,2020,2.0
city35,2021,2.0
city35,2022,
city36,2001,2.0
city36,2002,3.0
city36,2003,3.0
city36,2004,4.0
city36,2005,4.0
city36,2006,3.0
city36,2007,3.0
city36,2008,3.0
city36,2009,3.0
city36,2010,3.0
city36,2011,3.0
city36,2012,3.0
city36,2013,2.0
city36,2014,2.0
city36,2015,2.0
city36,2016,2.0
city36,2017,2.0
city36,2018,2.0
city36,2019,3.0
city36,2020,2.0
city36,2021,2.0
city36,2022,2.0
city37,2003,5.0
city37,2004,5.0
city37,2005,4.0
city37,2006,4.0
city37,2007,3.0
city37,2008,3.0
city37,2009,3.0
city37,2010,3.0
city37,2011,2.0
city37,2012,2.0
city37,2013,2.0
city37,2014,2.0
city37,2015,2.0
city37,2016,2.0
city37,2017,2.0
city37,2018,2.0
city37,2019,2.0
city37,2020,2.0
city37,2022,3.0
city38,2001,3.0
city38,2002,3.0
city38,2003,3.0
city38,2004,3.0
city38,2005,3.0
city38,2006,3.0
city38,2007,3.0
city38,2008,3.0
city38,2009,3.0
city38,2010,2.0
city38,2011,2.0
city38,2012,3.0
city38,2013,2.0
city38,2014,2.0
city38,2015,2.0
city38,2016,2.0
city38,2017,2.0
city38,2018,2.0
city38,2019,2.0
city38,2020,2.0
city38,2021,2.0
city38,2022,3.0
city39,2001,2.0
city39,2002,2.0
city39,2003,2.0
city39,2004,2.0
city39,2005,2.0
city39,2006,2.0
city39,2007,2.0
city39,2008,2.0
city39,2009,2.0
city39,2010,2.0
city39,2011,2.0
city39,2012,2.0
city39,2013,2.0
city39,2014,2.0
city39,2015,2.0
city39,2016,2.0
city39,2017,2.0
city39,2018,3.0
city39,2019,3.0
city39,2020,3.0
city39,2021,3.0
city39,2022,2.0
city40,2001,3.0
city40,2002,4.0
city40,2004,4.0
city40,2005,4.0
city40,2006,4.0
city40,2007,3.0
city40,2008,3.0
city40,2009,3.0
city40,2010,3.0
city40,2011,3.0
city40,2013,2.0
city40,2014,2.0
city40,2015,2.0
city40,2016,2.0
city40,2017,2.0
city40,2018,2.0
city40,2019,2.0
city40,2020,2.0
city40,2021,2.0
city40,2022,3.0
