城市名称,年份,pi_Employment,si_Employment,ti_Employment
city1,2003,0,57,41
city1,2004,0,63,43
city1,2005,0,66,50
city1,2006,0,71,52
city1,2007,0,81,66
city1,2008,0,87,77
city1,2009,0,87,77
city1,2010,0,89,56
city1,2011,0,91,59
city1,2012,0,92,62
city1,2013,0,92,64
city1,2014,0,94,65
city1,2015,0,95,67
city1,2016,0,96,69
city1,2017,0,96,72
city1,2018,0,96,74
city1,2019,0,95,79
city1,2021,0,101,89
city2,2002,45,111,67
city2,2003,39,140,81
city2,2004,35,150,89
city2,2005,34,159,96
city2,2006,30,172,106
city2,2007,28,183,114
city2,2008,26,199,125
city2,2009,24,200,140
city2,2010,23,210,149
city2,2011,20,212,154
city2,2012,18,224,147
city2,2013,18,223,149
city2,2014,18,221,151
city2,2015,18,219,153
city2,2016,17,215,155
city2,2017,17,215,155
city2,2018,16,214,159
city2,2019,15,213,159
city2,2020,14,206,199
city2,2021,13,207,199
city3,2006,2,372,274
city3,2007,1,355,300
city3,2008,1,362,307
city3,2009,0,374,318
city3,2010,0,390,367
city3,2011,0,383,381
city3,2012,0,373,398
city3,2013,0,437,462
city3,2014,0,432,468
city3,2015,0,423,483
city3,2016,0,418,508
city3,2017,2,419,522
city3,2018,2,515,775
city3,2019,1,509,773
city3,2020,1,479,759
city3,2021,1,486,758
city4,2003,19,18,17
city4,2004,16,19,21
city4,2005,14,20,22
city4,2006,13,21,22
city4,2007,12,21,25
city4,2008,11,27,26
city4,2009,11,28,27
city4,2010,11,26,29
city4,2011,11,26,32
city4,2012,10,25,37
city4,2013,11,31,31
city4,2014,10,30,34
city4,2015,11,30,34
city4,2016,11,30,34
city4,2017,11,29,35
city4,2018,11,29,35
city4,2019,11,29,36
city4,2021,8,32,33
city5,2002,62,161,101
city5,2003,55,195,96
city5,2004,49,211,103
city5,2005,43,232,123
city5,2006,36,264,132
city5,2007,34,307,143
city5,2008,32,304,182
city5,2009,30,314,206
city5,2010,28,330,231
city5,2011,26,336,247
city5,2012,25,427,242
city5,2013,25,426,244
city5,2014,25,420,249
city5,2015,24,415,253
city5,2016,24,412,256
city5,2017,24,412,256
city5,2018,22,406,265
city5,2019,21,404,268
city5,2020,19,384,344
city5,2021,18,386,345
city6,2006,29,197,125
city6,2007,28,203,128
city6,2008,28,197,137
city6,2009,27,206,148
city6,2010,26,264,153
city6,2011,26,265,154
city6,2012,27,258,152
city6,2013,25,257,156
city6,2014,22,257,159
city6,2015,22,253,164
city6,2016,22,252,165
city6,2017,21,247,167
city6,2018,19,264,247
city6,2019,21,263,248
city6,2020,23,297,279
city6,2021,22,301,277
city7,2003,80,137,68
city7,2004,75,140,70
city7,2005,65,148,73
city7,2006,56,157,81
city7,2007,53,162,87
city7,2008,53,170,93
city7,2009,52,172,105
city7,2010,51,181,110
city7,2011,52,181,111
city7,2012,51,180,112
city7,2013,51,179,114
city7,2014,46,179,120
city7,2015,46,178,123
city7,2016,46,178,124
city7,2017,45,178,125
city7,2018,45,175,127
city7,2019,45,173,130
city7,2021,18,160,152
city8,2002,138,45,53
city8,2003,126,45,90
city8,2004,118,48,104
city8,2005,112,55,107
city8,2006,101,68,112
city8,2007,99,82,114
city8,2008,97,95,121
city8,2009,98,110,139
city8,2010,94,104,128
city8,2011,94,126,142
city8,2012,84,85,112
city8,2013,83,85,114
city8,2014,80,88,114
city8,2015,79,89,115
city8,2016,78,90,116
city8,2017,78,90,116
city8,2018,77,90,118
city8,2019,76,90,119
city8,2020,70,85,113
city8,2021,66,86,113
city9,2006,171,68,64
city9,2007,171,81,62
city9,2008,184,81,67
city9,2009,184,88,75
city9,2010,149,58,67
city9,2011,149,56,71
city9,2012,147,57,74
city9,2013,145,60,76
city9,2014,142,61,78
city9,2015,142,62,78
city9,2016,142,62,79
city9,2017,140,64,81
city9,2018,136,62,129
city9,2019,136,62,126
city9,2020,79,61,131
city9,2021,77,62,133
city10,2003,73,29,40
city10,2004,73,30,39
city10,2005,69,32,41
city10,2006,67,33,43
city10,2007,65,35,45
city10,2008,61,35,51
city10,2009,63,37,50
city10,2010,58,34,46
city10,2011,57,34,47
city10,2012,55,35,49
city10,2013,54,36,51
city10,2014,52,37,52
city10,2015,52,37,53
city10,2016,50,37,55
city10,2017,50,37,57
city10,2018,48,40,57
city10,2019,46,45,54
city10,2021,14,51,77
city11,2003,49,100,51
city11,2004,44,98,60
city11,2005,42,144,54
city11,2006,42,167,66
city11,2007,39,181,69
city11,2008,37,177,80
city11,2009,36,187,85
city11,2010,35,193,89
city11,2011,34,197,91
city11,2012,32,198,97
city11,2013,32,194,102
city11,2014,31,193,108
city11,2015,30,186,113
city11,2016,29,183,118
city11,2017,28,181,124
city11,2018,27,180,129
city11,2019,25,176,134
city11,2021,11,173,146
city12,2002,97,75,73
city12,2003,79,87,77
city12,2004,73,93,78
city12,2005,69,101,85
city12,2006,65,105,86
city12,2007,66,109,90
city12,2008,67,117,97
city12,2009,67,118,99
city12,2010,67,119,99
city12,2011,65,119,103
city12,2012,73,119,92
city12,2013,71,119,94
city12,2014,69,119,97
city12,2015,63,118,100
city12,2016,60,113,105
city12,2017,60,113,105
city12,2018,56,112,108
city12,2019,54,113,108
city12,2020,50,108,121
city12,2021,46,109,121
city13,2002,137,49,81
city13,2003,129,54,84
city13,2004,119,60,89
city13,2005,111,72,84
city13,2006,110,91,88
city13,2007,115,95,92
city13,2008,103,112,95
city13,2009,101,121,96
city13,2010,99,134,99
city13,2011,97,145,109
city13,2012,114,90,73
city13,2013,111,92,74
city13,2014,105,97,77
city13,2015,100,99,83
city13,2016,89,107,87
city13,2017,89,107,87
city13,2018,84,101,97
city13,2019,83,97,102
city13,2020,74,93,116
city13,2021,70,94,116
city14,2006,73,22,26
city14,2007,75,24,28
city14,2008,78,26,26
city14,2009,76,27,28
city14,2010,73,28,33
city14,2011,72,29,34
city14,2012,73,30,34
city14,2013,70,30,36
city14,2014,69,27,39
city14,2015,70,27,39
city14,2016,71,27,40
city14,2017,71,28,43
city14,2018,70,25,44
city14,2019,70,25,48
city14,2020,34,29,72
city14,2021,33,29,73
city15,2003,216,95,81
city15,2004,196,103,82
city15,2005,190,111,94
city15,2006,183,128,142
city15,2007,177,145,147
city15,2008,170,152,155
city15,2009,163,169,154
city15,2010,162,180,159
city15,2011,162,187,171
city15,2012,153,205,171
city15,2013,180,140,158
city15,2014,172,146,161
city15,2015,163,151,168
city15,2016,153,156,174
city15,2017,144,160,179
city15,2018,144,160,179
city15,2019,120,170,193
city15,2020,107,173,204
city15,2021,95,167,221
city16,2007,72,25,42
city16,2008,71,26,43
city16,2009,64,29,47
city16,2010,62,31,50
city16,2011,61,30,51
city16,2012,60,31,51
city16,2013,59,31,53
city16,2014,59,32,52
city16,2015,59,33,53
city16,2016,59,32,53
city16,2017,59,32,54
city16,2018,59,32,54
city16,2019,59,25,50
city16,2020,59,25,50
city16,2021,33,25,66
city17,2007,84,237,287
city17,2008,82,264,318
city17,2009,80,287,347
city17,2010,80,297,362
city17,2011,59,274,378
city17,2012,63,283,397
city17,2013,65,283,404
city17,2014,65,263,433
city17,2015,60,284,441
city17,2016,63,287,461
city17,2017,62,288,485
city17,2018,62,287,514
city17,2019,60,275,767
city17,2020,62,267,797
city17,2021,59,260,839
city18,2003,46,88,57
city18,2004,39,99,62
city18,2005,35,115,68
city18,2006,33,129,80
city18,2007,31,140,85
city18,2008,30,151,90
city18,2009,30,163,98
city18,2010,29,170,104
city18,2011,28,180,116
city18,2012,22,153,102
city18,2013,32,148,101
city18,2014,32,147,102
city18,2015,31,146,104
city18,2016,31,144,107
city18,2017,30,142,109
city18,2018,30,142,109
city18,2019,29,137,115
city18,2020,29,137,116
city18,2021,27,133,141
city19,2004,102,123,80
city19,2005,98,128,89
city19,2006,93,128,91
city19,2007,83,138,96
city19,2008,77,146,103
city19,2009,76,146,105
city19,2010,75,149,106
city19,2011,72,167,107
city19,2012,71,160,112
city19,2013,68,162,113
city19,2014,68,163,114
city19,2015,68,164,114
city19,2016,68,163,115
city19,2017,68,163,116
city19,2018,68,162,119
city19,2019,69,164,121
city19,2020,69,162,124
city20,2004,62,30,28
city20,2005,61,33,30
city20,2006,60,34,31
city20,2007,58,38,33
city20,2008,57,38,35
city20,2009,57,38,37
city20,2010,56,39,39
city20,2011,55,37,36
city20,2012,54,39,38
city20,2013,53,40,40
city20,2014,53,40,40
city20,2015,53,30,51
city20,2016,51,39,40
city20,2017,50,40,43
city20,2018,50,40,44
city20,2019,49,40,46
city20,2020,47,43,45
city21,2004,102,182,166
city21,2005,93,198,165
city21,2006,92,222,167
city21,2007,87,235,191
city21,2008,84,245,204
city21,2009,80,264,225
city21,2010,80,278,239
city21,2011,76,286,264
city21,2012,72,289,276
city21,2013,70,290,284
city21,2014,70,292,289
city21,2015,66,287,302
city21,2016,67,272,324
city21,2017,66,262,349
city21,2018,66,258,357
city21,2019,60,244,392
city21,2020,57,257,407
city22,2003,58,93,119
city22,2004,52,101,128
city22,2005,45,101,138
city22,2006,43,132,143
city22,2007,37,139,151
city22,2008,45,153,169
city22,2009,46,153,181
city22,2010,46,169,193
city22,2011,51,175,232
city22,2012,44,176,248
city22,2013,49,151,252
city22,2014,49,150,254
city22,2015,47,150,256
city22,2016,47,149,260
city22,2017,46,149,261
city22,2018,46,149,261
city22,2019,43,146,274
city22,2020,40,145,280
city22,2021,38,150,296
city23,2007,10,42,47
city23,2008,7,43,49
city23,2009,7,44,51
city23,2010,7,42,46
city23,2011,6,46,51
city23,2012,6,46,51
city23,2013,6,49,50
city23,2014,6,54,46
city23,2015,6,55,47
city23,2016,7,55,47
city23,2017,6,55,49
city23,2018,6,55,51
city23,2019,6,67,92
city23,2020,6,65,90
city23,2021,5,60,83
city24,2004,0,38,42
city24,2005,0,39,41
city24,2006,0,46,52
city24,2007,0,49,52
city24,2008,0,57,61
city24,2009,0,58,63
city24,2010,0,56,67
city24,2011,0,62,66
city24,2012,0,61,72
city24,2013,0,69,72
city24,2014,0,72,76
city24,2015,0,67,75
city24,2016,0,57,75
city24,2017,0,58,78
city24,2018,0,54,77
city24,2019,0,55,75
city24,2020,0,58,88
city25,2004,88,198,100
city25,2005,80,201,115
city25,2006,76,213,126
city25,2007,71,224,135
city25,2008,68,229,142
city25,2009,65,233,143
city25,2010,69,239,135
city25,2011,32,266,178
city25,2012,33,274,188
city25,2013,30,275,197
city25,2014,29,274,200
city25,2015,19,273,219
city25,2016,19,271,220
city25,2017,18,272,230
city25,2018,16,275,240
city25,2019,16,271,254
city25,2020,16,319,254
city26,2003,185,140,71
city26,2004,172,160,99
city26,2005,158,171,103
city26,2006,134,178,132
city26,2007,108,191,150
city26,2008,97,204,156
city26,2009,90,201,163
city26,2010,85,207,169
city26,2011,81,216,167
city26,2012,76,216,173
city26,2013,115,214,140
city26,2014,107,217,143
city26,2015,102,216,144
city26,2016,97,215,148
city26,2017,96,213,149
city26,2018,96,213,149
city26,2019,84,212,160
city26,2020,80,211,161
city26,2021,72,204,210
city27,2007,71,68,43
city27,2008,71,71,45
city27,2009,70,105,63
city27,2010,71,108,65
city27,2011,71,104,63
city27,2012,70,105,64
city27,2013,69,107,63
city27,2014,65,110,65
city27,2015,65,108,65
city27,2016,64,109,65
city27,2017,63,109,67
city27,2018,62,108,69
city27,2019,60,98,89
city27,2020,60,101,87
city27,2021,37,97,112
city28,2004,1,64,42
city28,2005,1,73,42
city28,2006,1,80,44
city28,2007,1,85,44
city28,2008,1,84,46
city28,2009,0,80,46
city28,2010,1,75,47
city28,2011,1,76,48
city28,2012,0,78,50
city28,2013,0,77,52
city28,2014,0,87,60
city28,2015,0,84,66
city28,2016,0,83,67
city28,2017,0,77,68
city28,2018,0,75,71
city28,2019,0,70,75
city28,2020,0,62,85
city29,2004,122,127,109
city29,2005,106,137,121
city29,2006,104,140,125
city29,2007,101,143,126
city29,2008,89,153,132
city29,2009,84,157,134
city29,2010,78,162,138
city29,2011,75,160,132
city29,2012,76,162,133
city29,2013,75,171,143
city29,2014,75,175,147
city29,2015,74,179,150
city29,2016,72,182,153
city29,2017,70,181,152
city29,2018,69,182,155
city29,2019,68,184,156
city29,2020,67,184,158
city30,2003,111,44,54
city30,2004,106,43,53
city30,2005,103,50,61
city30,2006,100,59,68
city30,2007,95,72,75
city30,2008,93,81,99
city30,2009,93,83,101
city30,2010,93,92,106
city30,2011,92,96,114
city30,2012,88,101,119
city30,2013,83,78,89
city30,2014,82,78,90
city30,2015,79,81,91
city30,2016,79,81,91
city30,2017,79,81,91
city30,2018,79,81,91
city30,2019,78,82,91
city30,2020,76,73,101
city30,2021,70,77,106
city31,2007,85,81,55
city31,2008,86,89,58
city31,2009,80,93,60
city31,2010,82,91,60
city31,2011,78,106,66
city31,2012,77,110,66
city31,2013,76,105,67
city31,2014,79,100,66
city31,2015,81,96,66
city31,2016,79,96,68
city31,2017,79,96,69
city31,2018,79,97,69
city31,2019,78,87,116
city31,2020,78,87,108
city31,2021,32,84,141
city32,2004,0,29,18
city32,2005,0,29,18
city32,2006,0,38,19
city32,2007,0,39,18
city32,2008,0,38,19
city32,2009,0,39,20
city32,2010,0,40,21
city32,2011,0,41,22
city32,2012,0,47,25
city32,2013,0,51,26
city32,2014,0,65,28
city32,2015,0,63,29
city32,2016,0,59,29
city32,2017,0,55,29
city32,2018,0,52,29
city32,2019,0,49,28
city32,2020,0,39,30
city33,2004,125,143,177
city33,2005,103,192,153
city33,2006,102,193,193
city33,2007,82,236,191
city33,2008,92,241,184
city33,2009,81,261,195
city33,2010,86,262,198
city33,2011,75,273,210
city33,2012,73,229,274
city33,2013,67,245,265
city33,2014,67,248,260
city33,2015,64,277,227
city33,2016,64,284,227
city33,2017,62,276,236
city33,2018,62,276,237
city33,2019,62,275,238
city33,2020,61,270,245
city34,2003,146,68,111
city34,2004,131,80,112
city34,2005,118,87,113
city34,2006,116,88,114
city34,2007,115,89,115
city34,2008,116,95,119
city34,2009,124,101,111
city34,2010,114,105,123
city34,2011,111,110,127
city34,2012,107,117,133
city34,2013,140,143,165
city34,2014,133,147,167
city34,2015,126,151,168
city34,2016,115,157,174
city34,2017,110,160,176
city34,2018,110,160,176
city34,2019,96,159,177
city34,2020,95,159,177
city34,2021,85,153,180
city35,2007,209,37,66
city35,2008,211,35,66
city35,2009,206,39,68
city35,2010,196,42,74
city35,2011,202,42,76
city35,2012,204,47,78
city35,2013,203,48,81
city35,2014,202,51,83
city35,2015,205,51,85
city35,2016,204,52,86
city35,2017,205,52,87
city35,2018,205,52,87
city35,2019,196,52,147
city35,2020,193,53,145
city35,2021,97,75,149
city36,2004,1,16,15
city36,2005,1,16,16
city36,2006,0,20,15
city36,2007,0,20,15
city36,2008,0,19,15
city36,2009,0,19,16
city36,2010,0,18,16
city36,2011,0,19,17
city36,2012,0,23,15
city36,2013,0,25,16
city36,2014,0,32,19
city36,2015,0,29,19
city36,2016,0,28,19
city36,2017,0,26,19
city36,2018,0,24,19
city36,2019,0,19,18
city36,2020,0,16,19
city37,2003,65,79,75
city37,2004,58,90,76
city37,2005,53,97,78
city37,2006,50,105,81
city37,2007,47,112,84
city37,2008,45,128,86
city37,2009,43,136,94
city37,2010,40,145,101
city37,2011,39,152,107
city37,2012,35,156,112
city37,2013,53,121,92
city37,2014,52,121,93
city37,2015,51,118,97
city37,2016,48,118,98
city37,2017,46,116,101
city37,2018,46,116,101
city37,2019,39,120,107
city37,2020,37,115,116
city37,2021,41,103,128
city38,2007,107,55,55
city38,2008,108,56,57
city38,2009,116,60,63
city38,2010,115,58,63
city38,2011,119,49,45
city38,2012,117,52,46
city38,2013,116,52,47
city38,2014,116,52,48
city38,2015,114,54,50
city38,2016,112,55,51
city38,2017,106,57,57
city38,2018,107,57,58
city38,2019,105,48,83
city38,2020,104,49,78
city38,2021,51,46,104
city39,2004,0,22,9
city39,2005,0,21,10
city39,2006,0,22,12
city39,2007,0,22,13
city39,2008,0,22,14
city39,2009,1,22,15
city39,2010,1,22,16
city39,2011,1,23,17
city39,2012,1,29,16
city39,2013,0,29,17
city39,2014,0,32,17
city39,2015,0,31,17
city39,2016,0,27,17
city39,2017,0,26,17
city39,2018,0,23,17
city39,2019,0,21,16
city39,2020,0,20,18
city40,2003,44,55,42
city40,2004,39,60,41
city40,2005,37,63,45
city40,2006,35,68,45
city40,2007,33,75,46
city40,2008,30,81,46
city40,2009,32,84,49
city40,2010,32,88,54
city40,2011,34,90,58
city40,2012,26,96,69
city40,2013,24,92,76
city40,2014,24,91,77
city40,2015,24,90,79
city40,2016,23,89,81
city40,2017,22,88,84
city40,2018,22,88,84
city40,2019,22,85,88
city40,2020,22,84,90
city40,2021,20,79,100
