城市名称,年份,urbanizationRate
city1,2007,48
city1,2008,49
city1,2009,50
city1,2010,51
city1,2011,53
city1,2012,53
city1,2013,55
city1,2014,56
city1,2015,57
city1,2016,59
city1,2017,61
city1,2018,62
city1,2019,64
city1,2020,65
city1,2021,66
city1,2022,66
city2,2022,83
city2,2021,83
city2,2020,82
city2,2019,76
city2,2018,76
city2,2017,76
city2,2016,75
city2,2015,75
city2,2014,74
city2,2013,73
city2,2012,72
city2,2011,71
city2,2010,68
city2,2009,68
city2,2008,67
city2,2007,67
city3,2006,99
city3,2007,99
city3,2008,99
city3,2009,99
city3,2010,99
city3,2011,99
city3,2012,99
city3,2013,99
city3,2014,99
city3,2015,99
city3,2016,100
city3,2017,100
city3,2018,100
city3,2019,100
city3,2020,100
city3,2021,100
city3,2022,100
city4,2007,61
city4,2008,61
city4,2009,62
city4,2010,62
city4,2011,64
city4,2012,64
city4,2013,65
city4,2014,66
city4,2015,66
city4,2016,67
city4,2017,68
city4,2018,68
city4,2019,68
city4,2020,69
city4,2021,72
city4,2022,72
city5,2022,82
city5,2021,82
city5,2020,82
city5,2019,76
city5,2018,76
city5,2017,76
city5,2016,75
city5,2015,74
city5,2014,73
city5,2013,72
city5,2012,71
city5,2011,71
city5,2010,66
city5,2009,66
city5,2008,66
city5,2007,65
city6,2006,78
city6,2007,91
city6,2008,91
city6,2009,92
city6,2010,92
city6,2011,94
city6,2012,95
city6,2013,95
city6,2014,95
city6,2015,95
city6,2016,94
city6,2017,94
city6,2018,94
city6,2019,95
city6,2020,95
city6,2021,95
city6,2022,95
city7,2007,56
city7,2008,57
city7,2009,57
city7,2010,58
city7,2011,59
city7,2012,59
city7,2013,60
city7,2014,61
city7,2015,62
city7,2016,63
city7,2017,64
city7,2018,66
city7,2019,67
city7,2020,68
city7,2021,71
city7,2022,72
city8,2022,66
city8,2021,66
city8,2020,64
city8,2019,62
city8,2018,61
city8,2017,60
city8,2016,58
city8,2015,57
city8,2014,55
city8,2013,54
city8,2012,52
city8,2011,51
city8,2010,43
city8,2009,41
city8,2008,40
city8,2007,38
city9,2006,39
city9,2007,37
city9,2008,37
city9,2009,37
city9,2010,38
city9,2011,35
city9,2012,36
city9,2013,37
city9,2014,38
city9,2015,39
city9,2016,37
city9,2017,38
city9,2018,38
city9,2019,40
city9,2020,41
city9,2021,44
city9,2022,45
city10,2007,39
city10,2008,41
city10,2009,41
city10,2010,42
city10,2011,48
city10,2012,51
city10,2013,53
city10,2014,54
city10,2015,55
city10,2016,56
city10,2017,58
city10,2018,60
city10,2019,62
city10,2020,63
city10,2021,62
city10,2022,63
city11,2007,48
city11,2008,49
city11,2009,50
city11,2010,51
city11,2011,53
city11,2012,54
city11,2013,55
city11,2014,57
city11,2015,59
city11,2016,61
city11,2017,63
city11,2018,65
city11,2019,66
city11,2020,67
city11,2021,71
city11,2022,72
city12,2022,69
city12,2021,68
city12,2020,67
city12,2019,66
city12,2018,65
city12,2017,63
city12,2016,62
city12,2015,60
city12,2014,59
city12,2013,58
city12,2012,57
city12,2011,56
city12,2010,51
city12,2009,49
city12,2008,48
city12,2007,46
city13,2022,63
city13,2021,62
city13,2020,61
city13,2019,60
city13,2018,59
city13,2017,58
city13,2016,56
city13,2015,54
city13,2014,52
city13,2013,51
city13,2012,50
city13,2011,48
city13,2010,38
city13,2009,36
city13,2008,34
city13,2007,32
city14,2006,32
city14,2007,40
city14,2008,40
city14,2009,41
city14,2010,41
city14,2011,40
city14,2012,40
city14,2013,40
city14,2014,41
city14,2015,41
city14,2016,42
city14,2017,42
city14,2018,43
city14,2019,45
city14,2020,46
city14,2021,49
city14,2022,50
city15,2022,66
city15,2021,66
city15,2020,64
city15,2019,65
city15,2018,64
city15,2017,62
city15,2016,61
city15,2015,60
city15,2014,58
city15,2013,57
city15,2012,55
city15,2011,54
city15,2010,49
city15,2009,47
city15,2008,46
city15,2007,45
city16,2006,50
city16,2007,46
city16,2008,46
city16,2009,47
city16,2010,47
city16,2011,53
city16,2012,53
city16,2013,53
city16,2014,54
city16,2015,54
city16,2016,54
city16,2017,54
city16,2018,54
city16,2019,55
city16,2020,56
city16,2021,57
city16,2022,58
city17,2006,82
city17,2007,82
city17,2008,82
city17,2009,82
city17,2010,83
city17,2011,84
city17,2012,84
city17,2013,85
city17,2014,85
city17,2015,85
city17,2016,84
city17,2017,84
city17,2018,84
city17,2019,85
city17,2020,85
city17,2021,86
city17,2022,86
city18,2022,78
city18,2021,77
city18,2020,76
city18,2019,73
city18,2018,72
city18,2017,71
city18,2016,70
city18,2015,69
city18,2014,68
city18,2013,66
city18,2012,65
city18,2011,64
city18,2010,61
city18,2009,61
city18,2008,61
city18,2007,61
city19,2007,57
city19,2008,58
city19,2009,58
city19,2010,58
city19,2011,59
city19,2012,60
city19,2013,61
city19,2014,62
city19,2015,63
city19,2016,65
city19,2017,66
city19,2018,67
city19,2019,68
city19,2020,69
city19,2021,68
city19,2022,69
city20,2007,39
city20,2008,40
city20,2009,41
city20,2010,41
city20,2011,44
city20,2012,45
city20,2013,47
city20,2014,48
city20,2015,49
city20,2016,50
city20,2017,54
city20,2018,56
city20,2019,58
city20,2020,60
city20,2021,58
city20,2022,58
city21,2006,69
city21,2007,69
city21,2008,69
city21,2009,70
city21,2010,73
city21,2011,74
city21,2012,74
city21,2013,75
city21,2014,75
city21,2015,75
city21,2016,76
city21,2017,77
city21,2018,77
city21,2019,79
city21,2020,83
city21,2021,84
city21,2022,84
city22,2021,87
city22,2020,87
city22,2019,86
city22,2018,83
city22,2017,82
city22,2016,82
city22,2015,81
city22,2014,81
city22,2013,81
city22,2012,80
city22,2011,80
city22,2010,79
city22,2009,77
city22,2008,77
city22,2007,77
city22,2006,76
city23,2005,88
city23,2006,85
city23,2007,85
city23,2008,85
city23,2009,87
city23,2010,88
city23,2011,88
city23,2012,88
city23,2013,88
city23,2014,88
city23,2015,88
city23,2016,88
city23,2017,88
city23,2018,89
city23,2019,89
city23,2020,90
city23,2021,91
city24,2003,51
city24,2004,52
city24,2005,54
city24,2006,56
city24,2007,70
city24,2008,71
city24,2009,71
city24,2010,71
city24,2011,71
city24,2012,72
city24,2013,66
city24,2014,66
city24,2015,68
city24,2016,69
city24,2017,71
city24,2018,72
city24,2019,71
city24,2020,73
city24,2021,74
city24,2022,74
city25,2006,63
city25,2007,63
city25,2008,64
city25,2009,64
city25,2010,68
city25,2011,69
city25,2012,69
city25,2013,70
city25,2014,70
city25,2015,71
city25,2016,72
city25,2017,72
city25,2018,73
city25,2019,74
city25,2020,78
city25,2021,78
city25,2022,79
city26,2021,71
city26,2020,70
city26,2019,70
city26,2018,67
city26,2017,66
city26,2016,64
city26,2015,63
city26,2014,61
city26,2013,60
city26,2012,59
city26,2011,58
city26,2010,56
city26,2009,53
city26,2008,50
city26,2007,49
city26,2006,47
city27,2005,72
city27,2006,70
city27,2007,70
city27,2008,70
city27,2009,70
city27,2010,68
city27,2011,69
city27,2012,70
city27,2013,70
city27,2014,70
city27,2015,69
city27,2016,69
city27,2017,69
city27,2018,70
city27,2019,70
city27,2020,71
city27,2021,71
city28,2003,35
city28,2004,36
city28,2005,64
city28,2006,61
city28,2007,61
city28,2008,61
city28,2009,63
city28,2010,63
city28,2011,63
city28,2012,63
city28,2013,68
city28,2014,68
city28,2015,70
city28,2016,72
city28,2017,73
city28,2018,74
city28,2019,74
city28,2020,76
city28,2021,77
city28,2022,77
city29,2006,51
city29,2007,51
city29,2008,51
city29,2009,52
city29,2010,56
city29,2011,56
city29,2012,57
city29,2013,58
city29,2014,60
city29,2015,60
city29,2016,61
city29,2017,62
city29,2018,63
city29,2019,64
city29,2020,62
city29,2021,63
city29,2022,64
city30,2021,62
city30,2020,62
city30,2019,61
city30,2018,63
city30,2017,62
city30,2016,60
city30,2015,59
city30,2014,57
city30,2013,56
city30,2012,54
city30,2011,53
city30,2010,52
city30,2009,43
city30,2008,42
city30,2007,41
city30,2006,39
city31,2005,57
city31,2006,49
city31,2007,49
city31,2008,49
city31,2009,50
city31,2010,62
city31,2011,63
city31,2012,63
city31,2013,64
city31,2014,64
city31,2015,64
city31,2016,64
city31,2017,64
city31,2018,65
city31,2019,66
city31,2020,68
city31,2021,68
city32,2003,44
city32,2004,44
city32,2005,44
city32,2006,44
city32,2007,44
city32,2008,44
city32,2009,43
city32,2010,43
city32,2011,47
city32,2012,47
city32,2013,65
city32,2014,66
city32,2015,67
city32,2016,69
city32,2017,70
city32,2018,71
city32,2019,72
city32,2020,74
city32,2021,75
city32,2022,75
city33,2006,60
city33,2007,60
city33,2008,61
city33,2009,61
city33,2010,66
city33,2011,66
city33,2012,67
city33,2013,67
city33,2014,67
city33,2015,68
city33,2016,69
city33,2017,70
city33,2018,70
city33,2019,71
city33,2020,72
city33,2021,73
city33,2022,74
city34,2021,65
city34,2020,64
city34,2019,63
city34,2018,64
city34,2017,63
city34,2016,62
city34,2015,60
city34,2014,59
city34,2013,57
city34,2012,56
city34,2011,54
city34,2010,53
city34,2009,46
city34,2008,45
city34,2007,44
city34,2006,43
city35,2005,40
city35,2006,39
city35,2007,39
city35,2008,39
city35,2009,39
city35,2010,37
city35,2011,37
city35,2012,38
city35,2013,39
city35,2014,40
city35,2015,39
city35,2016,39
city35,2017,40
city35,2018,41
city35,2019,43
city35,2020,45
city35,2021,46
city36,2003,32
city36,2004,33
city36,2005,46
city36,2006,47
city36,2007,47
city36,2008,48
city36,2009,48
city36,2010,47
city36,2011,48
city36,2012,49
city36,2013,50
city36,2014,51
city36,2015,53
city36,2016,55
city36,2017,57
city36,2018,59
city36,2019,59
city36,2020,59
city36,2021,60
city36,2022,61
city37,2021,71
city37,2020,71
city37,2019,69
city37,2018,67
city37,2017,66
city37,2016,64
city37,2015,63
city37,2014,61
city37,2013,60
city37,2012,59
city37,2011,58
city37,2010,57
city37,2009,53
city37,2008,51
city37,2007,50
city37,2006,49
city38,2005,39
city38,2006,45
city38,2007,45
city38,2008,45
city38,2009,45
city38,2010,42
city38,2011,42
city38,2012,43
city38,2013,44
city38,2014,44
city38,2015,44
city38,2016,45
city38,2017,45
city38,2018,47
city38,2019,49
city38,2020,51
city38,2021,52
city39,2003,32
city39,2004,33
city39,2005,43
city39,2006,43
city39,2007,42
city39,2008,42
city39,2009,43
city39,2010,44
city39,2011,44
city39,2012,43
city39,2013,63
city39,2014,64
city39,2015,66
city39,2016,67
city39,2017,68
city39,2018,69
city39,2019,69
city39,2020,71
city39,2021,72
city39,2022,72
city40,2021,80
city40,2020,80
city40,2019,78
city40,2018,71
city40,2017,71
city40,2016,69
city40,2015,68
city40,2014,67
city40,2013,65
city40,2012,64
city40,2011,63
city40,2010,62
city40,2009,60
city40,2008,60
city40,2007,60
city40,2006,59
