城市名称,年份,wage
city1,2001,10340.0
city1,2002,13044.0
city1,2003,16648.0
city1,2004,19968.0
city1,2005,22024.0
city1,2006,23872.0
city1,2007,26040.0
city1,2008,28504.0
city1,2009,31456.0
city1,2010,33840.0
city1,2011,36484.0
city1,2012,41104.0
city1,2013,46288.0
city1,2014,49888.0
city1,2015,56444.0
city1,2016,61200.0
city1,2017,65048.0
city1,2018,72332.0
city1,2019,81616.0
city1,2020,
city1,2021,97620.0
city2,2001,11984.0
city2,2002,13780.0
city2,2003,15796.0
city2,2004,18928.0
city2,2005,22124.0
city2,2006,25600.0
city2,2007,29656.0
city2,2008,34372.0
city2,2009,38844.0
city2,2010,43344.0
city2,2011,47004.0
city2,2012,51516.0
city2,2013,56884.0
city2,2014,60580.0
city2,2015,68024.0
city2,2016,76016.0
city2,2017,84928.0
city2,2018,89548.0
city2,2019,90284.0
city2,2020,105756.0
city2,2021,115748.0
city3,2001,23036.0
city3,2002,25940.0
city3,2003,28216.0
city3,2004,30608.0
city3,2005,31928.0
city3,2006,32476.0
city3,2007,35104.0
city3,2008,38796.0
city3,2009,43452.0
city3,2010,46720.0
city3,2011,50456.0
city3,2012,55140.0
city3,2013,59008.0
city3,2014,62616.0
city3,2015,72648.0
city3,2016,81032.0
city3,2017,89756.0
city3,2018,
city3,2019,
city3,2020,
city3,2021,
city4,2001,11504.0
city4,2002,14732.0
city4,2003,16688.0
city4,2004,18776.0
city4,2005,22248.0
city4,2006,25368.0
city4,2007,28440.0
city4,2008,33424.0
city4,2009,38700.0
city4,2010,40568.0
city4,2011,43632.0
city4,2012,52904.0
city4,2013,57280.0
city4,2014,61680.0
city4,2015,68964.0
city4,2016,74716.0
city4,2017,80308.0
city4,2018,93016.0
city4,2019,98392.0
city4,2020,106440.0
city4,2021,108492.0
city5,2001,11776.0
city5,2002,13668.0
city5,2003,15920.0
city5,2004,19788.0
city5,2005,22508.0
city5,2006,25012.0
city5,2007,28008.0
city5,2008,31400.0
city5,2009,36088.0
city5,2010,40260.0
city5,2011,45564.0
city5,2012,51656.0
city5,2013,57620.0
city5,2014,60528.0
city5,2015,66956.0
city5,2016,72288.0
city5,2017,79868.0
city5,2018,87348.0
city5,2019,94420.0
city5,2020,105572.0
city5,2021,113744.0
city6,2001,12496.0
city6,2002,14220.0
city6,2003,15872.0
city6,2004,17640.0
city6,2005,19560.0
city6,2006,22116.0
city6,2007,25204.0
city6,2008,28328.0
city6,2009,31044.0
city6,2010,
city6,2011,37080.0
city6,2012,40664.0
city6,2013,46204.0
city6,2014,50352.0
city6,2015,55676.0
city6,2016,61808.0
city6,2017,67184.0
city6,2018,
city6,2019,
city6,2020,
city6,2021,
city7,2001,11460.0
city7,2002,14728.0
city7,2003,16860.0
city7,2004,19692.0
city7,2005,21576.0
city7,2006,24628.0
city7,2007,26912.0
city7,2008,29952.0
city7,2009,30636.0
city7,2010,32500.0
city7,2011,35124.0
city7,2012,39808.0
city7,2013,45612.0
city7,2014,49032.0
city7,2015,54764.0
city7,2016,58728.0
city7,2017,61392.0
city7,2018,67488.0
city7,2019,75372.0
city7,2020,
city7,2021,85836.0
city8,2001,7976.0
city8,2002,8948.0
city8,2003,9852.0
city8,2004,10800.0
city8,2005,12168.0
city8,2006,14132.0
city8,2007,16588.0
city8,2008,19840.0
city8,2009,23992.0
city8,2010,28176.0
city8,2011,32780.0
city8,2012,36984.0
city8,2013,41968.0
city8,2014,45520.0
city8,2015,51300.0
city8,2016,55232.0
city8,2017,59640.0
city8,2018,64628.0
city8,2019,71472.0
city8,2020,77872.0
city8,2021,83216.0
city9,2001,8216.0
city9,2002,9472.0
city9,2003,10380.0
city9,2004,12436.0
city9,2005,14528.0
city9,2006,16104.0
city9,2007,17148.0
city9,2008,19884.0
city9,2009,22036.0
city9,2010,24256.0
city9,2011,25808.0
city9,2012,30580.0
city9,2013,36664.0
city9,2014,42888.0
city9,2015,48156.0
city9,2016,53036.0
city9,2017,57056.0
city9,2018,61440.0
city9,2019,67840.0
city9,2020,73056.0
city9,2021,86584.0
city10,2001,10316.0
city10,2002,13408.0
city10,2003,15944.0
city10,2004,18620.0
city10,2005,22916.0
city10,2006,24956.0
city10,2007,27348.0
city10,2008,31444.0
city10,2009,36240.0
city10,2010,41140.0
city10,2011,44972.0
city10,2012,49068.0
city10,2013,56608.0
city10,2014,59780.0
city10,2015,66100.0
city10,2016,77236.0
city10,2017,85056.0
city10,2018,92580.0
city10,2019,103256.0
city10,2020,
city10,2021,115580.0
city11,2001,12148.0
city11,2002,15352.0
city11,2003,17876.0
city11,2004,20776.0
city11,2005,20700.0
city11,2006,20644.0
city11,2007,22624.0
city11,2008,26004.0
city11,2009,29216.0
city11,2010,31960.0
city11,2011,36316.0
city11,2012,42984.0
city11,2013,48328.0
city11,2014,52944.0
city11,2015,60308.0
city11,2016,67688.0
city11,2017,73836.0
city11,2018,82932.0
city11,2019,90340.0
city11,2020,97764.0
city11,2021,107612.0
city12,2001,7816.0
city12,2002,9060.0
city12,2003,10056.0
city12,2004,11420.0
city12,2005,13188.0
city12,2006,15088.0
city12,2007,17308.0
city12,2008,21264.0
city12,2009,25732.0
city12,2010,29796.0
city12,2011,34488.0
city12,2012,38324.0
city12,2013,42980.0
city12,2014,46788.0
city12,2015,53396.0
city12,2016,57872.0
city12,2017,61068.0
city12,2018,65508.0
city12,2019,70848.0
city12,2020,79892.0
city12,2021,85944.0
city13,2001,6812.0
city13,2002,7940.0
city13,2003,8700.0
city13,2004,9284.0
city13,2005,10336.0
city13,2006,12112.0
city13,2007,14048.0
city13,2008,16848.0
city13,2009,19984.0
city13,2010,23808.0
city13,2011,27612.0
city13,2012,31992.0
city13,2013,35900.0
city13,2014,43244.0
city13,2015,47392.0
city13,2016,52160.0
city13,2017,55844.0
city13,2018,59740.0
city13,2019,65088.0
city13,2020,
city13,2021,78696.0
city14,2001,6176.0
city14,2002,9052.0
city14,2003,10224.0
city14,2004,12492.0
city14,2005,14472.0
city14,2006,16132.0
city14,2007,17356.0
city14,2008,20104.0
city14,2009,22056.0
city14,2010,23804.0
city14,2011,26376.0
city14,2012,31236.0
city14,2013,35980.0
city14,2014,41092.0
city14,2015,46076.0
city14,2016,51456.0
city14,2017,56512.0
city14,2018,
city14,2019,
city14,2020,
city14,2021,
city15,2001,9340.0
city15,2002,10500.0
city15,2003,11890.0
city15,2004,13550.0
city15,2005,15810.0
city15,2006,18850.0
city15,2007,21900.0
city15,2008,23710.0
city15,2009,26820.0
city15,2010,31180.0
city15,2011,34240.0
city15,2012,39490.0
city15,2013,44070.0
city15,2014,47010.0
city15,2015,49780.0
city15,2016,54310.0
city15,2017,57230.0
city15,2018,63920.0
city15,2019,71460.0
city15,2020,78570.0
city15,2021,
city16,2001,8200.0
city16,2002,10350.0
city16,2003,12150.0
city16,2004,13980.0
city16,2005,16390.0
city16,2006,18210.0
city16,2007,20040.0
city16,2008,23050.0
city16,2009,25970.0
city16,2010,28270.0
city16,2011,31870.0
city16,2012,35830.0
city16,2013,40130.0
city16,2014,44900.0
city16,2015,49060.0
city16,2016,54920.0
city16,2017,61470.0
city16,2018,
city16,2019,
city16,2020,
city16,2021,
city17,2001,19090.0
city17,2002,22770.0
city17,2003,26220.0
city17,2004,28810.0
city17,2005,31590.0
city17,2006,34330.0
city17,2007,36770.0
city17,2008,40560.0
city17,2009,45700.0
city17,2010,49520.0
city17,2011,54490.0
city17,2012,57470.0
city17,2013,67510.0
city17,2014,73750.0
city17,2015,74250.0
city17,2016,81170.0
city17,2017,89100.0
city17,2018,
city17,2019,
city17,2020,
city17,2021,
city18,2001,11540.0
city18,2002,13110.0
city18,2003,14910.0
city18,2004,17260.0
city18,2005,19980.0
city18,2006,22990.0
city18,2007,26560.0
city18,2008,30410.0
city18,2009,34840.0
city18,2010,39220.0
city18,2011,44210.0
city18,2012,49750.0
city18,2013,55760.0
city18,2014,67400.0
city18,2015,70850.0
city18,2016,73030.0
city18,2017,81060.0
city18,2018,84740.0
city18,2019,91270.0
city18,2020,104540.0
city18,2021,113270.0
city19,2001,12390.0
city19,2002,15700.0
city19,2003,17540.0
city19,2004,20550.0
city19,2005,23260.0
city19,2006,24020.0
city19,2007,25040.0
city19,2008,28850.0
city19,2009,31580.0
city19,2010,34770.0
city19,2011,39470.0
city19,2012,42860.0
city19,2013,47200.0
city19,2014,51720.0
city19,2015,55810.0
city19,2016,66780.0
city19,2017,72960.0
city19,2018,82200.0
city19,2019,
city19,2020,90640.0
city19,2021,96590.0
city20,2001,10690.0
city20,2002,14090.0
city20,2003,16030.0
city20,2004,18570.0
city20,2005,22500.0
city20,2006,26460.0
city20,2007,28660.0
city20,2008,32910.0
city20,2009,35930.0
city20,2010,39090.0
city20,2011,44050.0
city20,2012,50050.0
city20,2013,54710.0
city20,2014,55540.0
city20,2015,65080.0
city20,2016,75450.0
city20,2017,85530.0
city20,2018,96840.0
city20,2019,
city20,2020,118260.0
city20,2021,124610.0
city21,2001,14312.0
city21,2002,18316.0
city21,2003,21416.0
city21,2004,24664.0
city21,2005,28888.0
city21,2006,30576.0
city21,2007,32788.0
city21,2008,36496.0
city21,2009,40192.0
city21,2010,43944.0
city21,2011,48768.0
city21,2012,54408.0
city21,2013,56416.0
city21,2014,64956.0
city21,2015,70820.0
city21,2016,77816.0
city21,2017,87152.0
city21,2018,96668.0
city21,2019,106708.0
city21,2020,120308.0
city21,2021,132188.0
city22,2001,13912.0
city22,2002,16572.0
city22,2003,19144.0
city22,2004,22188.0
city22,2005,26060.0
city22,2006,29340.0
city22,2007,32456.0
city22,2008,35904.0
city22,2009,39876.0
city22,2010,43620.0
city22,2011,48780.0
city22,2012,54708.0
city22,2013,63148.0
city22,2014,66220.0
city22,2015,77284.0
city22,2016,81072.0
city22,2017,90188.0
city22,2018,101500.0
city22,2019,111068.0
city22,2020,129604.0
city22,2021,138004.0
city23,2001,15176.0
city23,2002,17036.0
city23,2003,18504.0
city23,2004,19200.0
city23,2005,20084.0
city23,2006,21844.0
city23,2007,23772.0
city23,2008,26612.0
city23,2009,29700.0
city23,2010,31760.0
city23,2011,34404.0
city23,2012,41052.0
city23,2013,48484.0
city23,2014,56240.0
city23,2015,62576.0
city23,2016,67956.0
city23,2017,74928.0
city23,2018,
city23,2019,
city23,2020,
city23,2021,
city24,2001,10420.0
city24,2002,11976.0
city24,2003,14392.0
city24,2004,16024.0
city24,2005,17980.0
city24,2006,20864.0
city24,2007,22304.0
city24,2008,26652.0
city24,2009,31596.0
city24,2010,35660.0
city24,2011,37852.0
city24,2012,44004.0
city24,2013,48828.0
city24,2014,55840.0
city24,2015,62320.0
city24,2016,68996.0
city24,2017,77012.0
city24,2018,84644.0
city24,2019,91648.0
city24,2020,100592.0
city24,2021,108388.0
city25,2001,15512.0
city25,2002,19088.0
city25,2003,21120.0
city25,2004,23688.0
city25,2005,25820.0
city25,2006,29044.0
city25,2007,28948.0
city25,2008,32924.0
city25,2009,35832.0
city25,2010,39136.0
city25,2011,43476.0
city25,2012,49756.0
city25,2013,56252.0
city25,2014,63360.0
city25,2015,70224.0
city25,2016,74988.0
city25,2017,83656.0
city25,2018,91704.0
city25,2019,102324.0
city25,2020,110876.0
city25,2021,111284.0
city26,2001,9244.0
city26,2002,10588.0
city26,2003,12108.0
city26,2004,13544.0
city26,2005,15900.0
city26,2006,18512.0
city26,2007,21660.0
city26,2008,25944.0
city26,2009,30852.0
city26,2010,35220.0
city26,2011,39444.0
city26,2012,44568.0
city26,2013,49396.0
city26,2014,58652.0
city26,2015,63292.0
city26,2016,66532.0
city26,2017,71740.0
city26,2018,75312.0
city26,2019,79216.0
city26,2020,86796.0
city26,2021,92540.0
city27,2001,9124.0
city27,2002,11928.0
city27,2003,13564.0
city27,2004,14424.0
city27,2005,15840.0
city27,2006,17112.0
city27,2007,18956.0
city27,2008,21564.0
city27,2009,23084.0
city27,2010,25384.0
city27,2011,27740.0
city27,2012,32784.0
city27,2013,37716.0
city27,2014,42644.0
city27,2015,45936.0
city27,2016,52296.0
city27,2017,55864.0
city27,2018,
city27,2019,
city27,2020,
city27,2021,
city28,2001,10176.0
city28,2002,12720.0
city28,2003,14112.0
city28,2004,15332.0
city28,2005,17260.0
city28,2006,20020.0
city28,2007,23456.0
city28,2008,27084.0
city28,2009,30232.0
city28,2010,33256.0
city28,2011,37800.0
city28,2012,43160.0
city28,2013,49052.0
city28,2014,55332.0
city28,2015,62096.0
city28,2016,69464.0
city28,2017,76616.0
city28,2018,83536.0
city28,2019,90840.0
city28,2020,103124.0
city28,2021,116112.0
city29,2001,13204.0
city29,2002,16232.0
city29,2003,18832.0
city29,2004,20996.0
city29,2005,24880.0
city29,2006,31076.0
city29,2007,31944.0
city29,2008,33360.0
city29,2009,34128.0
city29,2010,36820.0
city29,2011,40564.0
city29,2012,42196.0
city29,2013,47008.0
city29,2014,50512.0
city29,2015,54836.0
city29,2016,57212.0
city29,2017,64816.0
city29,2018,70824.0
city29,2019,77672.0
city29,2020,85576.0
city29,2021,91304.0
city30,2001,8004.0
city30,2002,8980.0
city30,2003,10076.0
city30,2004,11260.0
city30,2005,12712.0
city30,2006,15040.0
city30,2007,17760.0
city30,2008,21484.0
city30,2009,26492.0
city30,2010,29548.0
city30,2011,33836.0
city30,2012,38816.0
city30,2013,44128.0
city30,2014,46244.0
city30,2015,52612.0
city30,2016,56152.0
city30,2017,61260.0
city30,2018,69724.0
city30,2019,75808.0
city30,2020,92008.0
city30,2021,100208.0
city31,2001,9100.0
city31,2002,10260.0
city31,2003,11168.0
city31,2004,12404.0
city31,2005,13736.0
city31,2006,15028.0
city31,2007,16660.0
city31,2008,19376.0
city31,2009,21672.0
city31,2010,
city31,2011,37492.0
city31,2012,31908.0
city31,2013,37984.0
city31,2014,42848.0
city31,2015,48164.0
city31,2016,54104.0
city31,2017,61364.0
city31,2018,
city31,2019,
city31,2020,
city31,2021,
city32,2001,9300.0
city32,2002,10532.0
city32,2003,12020.0
city32,2004,13400.0
city32,2005,15080.0
city32,2006,17164.0
city32,2007,19928.0
city32,2008,23264.0
city32,2009,26340.0
city32,2010,29948.0
city32,2011,33896.0
city32,2012,37940.0
city32,2013,41996.0
city32,2014,47180.0
city32,2015,51140.0
city32,2016,56780.0
city32,2017,61928.0
city32,2018,67000.0
city32,2019,71432.0
city32,2020,78812.0
city32,2021,84756.0
city33,2001,12496.0
city33,2002,15172.0
city33,2003,17240.0
city33,2004,18912.0
city33,2005,19576.0
city33,2006,21684.0
city33,2007,23020.0
city33,2008,25992.0
city33,2009,29592.0
city33,2010,33888.0
city33,2011,37604.0
city33,2012,42344.0
city33,2013,48212.0
city33,2014,54588.0
city33,2015,59900.0
city33,2016,64412.0
city33,2017,70068.0
city33,2018,75880.0
city33,2019,82836.0
city33,2020,90676.0
city33,2021,96772.0
city34,2001,7736.0
city34,2002,8608.0
city34,2003,9688.0
city34,2004,10616.0
city34,2005,11948.0
city34,2006,13648.0
city34,2007,15688.0
city34,2008,18848.0
city34,2009,22380.0
city34,2010,26672.0
city34,2011,30460.0
city34,2012,35496.0
city34,2013,40356.0
city34,2014,44268.0
city34,2015,48140.0
city34,2016,53444.0
city34,2017,58204.0
city34,2018,64280.0
city34,2019,71404.0
city34,2020,84776.0
city34,2021,89724.0
city35,2001,7080.0
city35,2002,9516.0
city35,2003,10516.0
city35,2004,12032.0
city35,2005,13580.0
city35,2006,15076.0
city35,2007,16944.0
city35,2008,19884.0
city35,2009,21808.0
city35,2010,23940.0
city35,2011,26788.0
city35,2012,29820.0
city35,2013,33960.0
city35,2014,40532.0
city35,2015,45452.0
city35,2016,50176.0
city35,2017,55564.0
city35,2018,
city35,2019,
city35,2020,
city35,2021,
city36,2001,6872.0
city36,2002,7668.0
city36,2003,9188.0
city36,2004,10508.0
city36,2005,12868.0
city36,2006,14832.0
city36,2007,16832.0
city36,2008,21112.0
city36,2009,24680.0
city36,2010,26984.0
city36,2011,30440.0
city36,2012,34976.0
city36,2013,38988.0
city36,2014,42496.0
city36,2015,47188.0
city36,2016,49672.0
city36,2017,53792.0
city36,2018,58352.0
city36,2019,63408.0
city36,2020,70788.0
city36,2021,75428.0
city37,2001,9732.0
city37,2002,10760.0
city37,2003,12004.0
city37,2004,13800.0
city37,2005,15732.0
city37,2006,18160.0
city37,2007,20844.0
city37,2008,24284.0
city37,2009,27320.0
city37,2010,30604.0
city37,2011,35432.0
city37,2012,40284.0
city37,2013,47796.0
city37,2014,52656.0
city37,2015,57140.0
city37,2016,63888.0
city37,2017,67608.0
city37,2018,71660.0
city37,2019,75996.0
city37,2020,81836.0
city37,2021,87872.0
city38,2001,8988.0
city38,2002,9668.0
city38,2003,11184.0
city38,2004,13068.0
city38,2005,14912.0
city38,2006,16860.0
city38,2007,18412.0
city38,2008,20832.0
city38,2009,23384.0
city38,2010,26316.0
city38,2011,30112.0
city38,2012,34112.0
city38,2013,39152.0
city38,2014,44656.0
city38,2015,49048.0
city38,2016,54468.0
city38,2017,59588.0
city38,2018,
city38,2019,
city38,2020,
city38,2021,
city39,2001,15328.0
city39,2002,17684.0
city39,2003,19172.0
city39,2004,21180.0
city39,2005,24264.0
city39,2006,26004.0
city39,2007,27608.0
city39,2008,30132.0
city39,2009,33672.0
city39,2010,36920.0
city39,2011,41196.0
city39,2012,45608.0
city39,2013,50192.0
city39,2014,56812.0
city39,2015,60772.0
city39,2016,67464.0
city39,2017,73128.0
city39,2018,76936.0
city39,2019,89500.0
city39,2020,100224.0
city39,2021,107268.0
city40,2001,10276.0
city40,2002,11740.0
city40,2003,13192.0
city40,2004,15260.0
city40,2005,17380.0
city40,2006,19888.0
city40,2007,22920.0
city40,2008,27024.0
city40,2009,30956.0
city40,2010,34204.0
city40,2011,37672.0
city40,2012,42660.0
city40,2013,47624.0
city40,2014,54748.0
city40,2015,58640.0
city40,2016,63364.0
city40,2017,68872.0
city40,2018,75312.0
city40,2019,79608.0
city40,2020,87012.0
city40,2021,93128.0
